Coin,Date,Actual,Predicted,pct_increase_actual,pct_increase_predicted,pct_diff_pred_vs_actual
HIGH,2025-07-20,0.0001649,0.0001685,-9.8907,-3.3276,2.1831
HIGH,2025-07-21,0.0001296,0.0001638,-21.4069,-2.7893,26.3889
HIGH,2025-07-22,0.0001265,0.0001433,-2.392,-12.5153,13.2806
HIGH,2025-07-22,0.0001286,0.0001392,1.6601,-2.8611,8.2426
GOAT,2025-07-19,2.2e-06,2.1e-06,,,-4.5455
GOAT,2025-07-20,2.2e-06,2.1e-06,0.0,0.0,-4.5455
GOAT,2025-07-21,2.3e-06,2.1e-06,4.5455,0.0,-8.6957
GOAT,2025-07-22,2.3e-06,2.1e-06,0.0,0.0,-8.6957
GOAT,2025-07-22,2.2e-06,2.1e-06,-4.3478,0.0,-4.5455
BRETT,2025-07-19,0.0005251,0.000543,,,3.4089
BRETT,2025-07-20,0.0005501,0.0005533,4.761,1.8969,0.5817
BRETT,2025-07-21,0.0007527,0.0005702,36.8297,3.0544,-24.246
BRETT,2025-07-22,0.0008521,0.0007293,13.2058,27.9025,-14.4115
BRETT,2025-07-22,0.0007913,0.0007676,-7.1353,5.2516,-2.9951
ONE,2025-07-19,0.0005353,0.0005478,,,2.3351
ONE,2025-07-20,0.0005522,0.0005527,3.1571,0.8945,0.0905
ONE,2025-07-21,0.0005206,0.0005366,-5.7226,-2.913,3.0734
ONE,2025-07-22,0.0005352,0.0005278,2.8045,-1.64,-1.3827
ONE,2025-07-22,0.0005342,0.0005376,-0.1868,1.8568,0.6365
