coinswitch_pair,coin_id,coin_name
D/INR,d,
HOME/INR,home,HOME
LDO/INR,ldo,
NEAR/INR,near,NEAR Protocol
PHA/INR,pha,PHA
RED/INR,red,
VANRY/INR,vanry,
ALLO/INR,allo,
CKB/INR,ckb,
ESP/INR,esp,
PEPE/INR,pepe,Pepe
SUNDOG/INR,sundog,SUNDOG
TON/INR,ton,
VVV/INR,vvv,
XEM/INR,xem,
ARB/INR,arb,
DGB/INR,dgb,
FRAX/INR,frax,
MYRO/INR,myro,MYRO
XEC/INR,xec,
XNO/INR,xno,
XRP/INR,xrp,
AI/INR,ai,
AXS/INR,axs,
CHZ/INR,chz,
EUL/INR,eul,
LPT/INR,lpt,
MAVIA/INR,mavia,
QNT/INR,qnt,
W/INR,w,W
DYM/INR,dym,
GNO/INR,gno,
MANTA/INR,manta,
TRB/INR,trb,
ATH/INR,ath,
GNS/INR,gns,
HEMI/INR,hemi,
ILV/INR,ilv,
JUP/INR,jup,
KAS/INR,kas,
LUNA2/INR,luna2,
PROVE/INR,prove,
AAVE/INR,aave,Aave
ADA/INR,ada,
BTC/INR,btc,
GPS/INR,gps,
OP/INR,op,
POWR/INR,powr,
SCR/INR,scr,
SKL/INR,skl,
AERO/INR,aero,
C/INR,c,
COOKIE/INR,cookie,COOKIE
SUI/INR,sui,Sui
VRA/INR,vra,
XAUT/INR,xaut,
XPL/INR,xpl,
BMT/INR,bmt,
EIGEN/INR,eigen,
GMX/INR,gmx,GMX
GRT/INR,grt,
MON/INR,mon,
ORDER/INR,order,
POPCAT/INR,popcat,POPCAT
ZORA/INR,zora,
CC/INR,cc,
DOT/INR,dot,
DYDX/INR,dydx,DYDX
ENJ/INR,enj,
LINK/INR,link,
PYTH/INR,pyth,
TNSR/INR,tnsr,
BREV/INR,brev,
MAGIC/INR,magic,
SOLV/INR,solv,
THE/INR,the,
XVS/INR,xvs,
ANKR/INR,ankr,ANKR
COW/INR,cow,COW
FF/INR,ff,
GIGGLE/INR,giggle,
GOAT/INR,goat,GOAT
HIPPO/INR,hippo,
DRIFT/INR,drift,
AUCTION/INR,auction,AUCTION
GAS/INR,gas,GAS
MTL/INR,mtl,
ORDI/INR,ordi,
